output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,22.4558599935815,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
1.63235758255827e-20,2.62198529241801e-154,9.33261048093133e-26,1.11510847203569e-20,4.05499966144109e-33,5.82169355761752e-33
1.94344778432125e-20,3.27629205480947e-159,6.23396328112001e-28,1.32762276624414e-20,2.70864395830385e-35,3.92525358047475e-35
2.313824697934e-20,3.59450886562742e-164,3.82549538340382e-30,1.58063744797138e-20,1.66216971299106e-37,2.43119521167058e-37
2.75478702127271e-20,3.46356846075176e-169,2.15847443471309e-32,1.88187096926449e-20,9.37852610464612e-40,1.38445544114817e-39
3.27978672686337e-20,2.93192519584303e-174,1.12071915405936e-34,2.24051274345399e-20,4.86950119644096e-42,7.2543750939324e-42
3.90483942702017e-20,2.18091992694568e-179,5.35888811412306e-37,2.66750347689443e-20,2.32842563534283e-44,3.50042128184913e-44
4.6490129452391e-20,1.42591147830702e-184,2.36157317227452e-39,3.17586892555428e-20,1.02609858555737e-46,1.55654206370947e-46
5.535008998179e-20,8.19625350232942e-190,9.59803078913707e-42,3.78111725801528e-20,4.1703242281433e-49,6.38303253296895e-49
6.58985573298868e-20,4.14293416811167e-195,3.60004001829602e-44,4.50171214681531e-20,1.56420983016404e-51,2.41551441955222e-51
7.84573224648611e-20,1.84190182027042e-200,1.24696275069655e-46,5.35963602023331e-20,5.41802697352003e-54,8.44083562763395e-54
9.34095023892653e-20,7.20415377187537e-206,3.99102022081063e-49,6.38106065704446e-20,1.73408990734784e-56,2.72532448581132e-56
1.11211227486357e-19,2.47939808366616e-211,1.18099906747253e-51,7.59714558137256e-20,5.13141615472787e-59,8.1350324386367e-59
1.32405556208633e-19,7.51003098937897e-217,3.2328791547052e-54,9.04498861342927e-20,1.40467920573723e-61,2.2461991211613e-61
1.57639041589287e-19,2.00240346000325e-222,8.19090058796091e-57,1.07687575735891e-19,3.55892910980729e-64,5.74002267748642e-64
1.8768145495369e-19,4.70061863651381e-228,1.92173523865782e-59,1.28210376635031e-19,8.34989926779762e-67,1.35823009859827e-66
