output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
1.76536592912563e-23,2.87950096978584,2.02929120763053e+20,1.20597014088418e-23,6.9404573843374e-06,0.0824900406988122
1.96790691567638e-23,0.0298436351319417,1.73198979275536e+20,1.3443314732604e-23,7.19320743421597e-08,0.00199528914366964
2.19368549311756e-23,0.000259099733463689,1.45168736662116e+20,1.49856704468113e-23,6.24507745358272e-10,4.08159717214272e-05
2.44536771753782e-23,1.93863277116105e-06,1.19220324129098e+20,1.67049811156905e-23,4.67268400785567e-12,7.21133142329199e-07
2.72592552247674e-23,1.27498485432248e-08,9.56999268234999e+19,1.86215488366724e-23,3.07309431042106e-14,1.11893127657605e-08
3.0386718123407e-23,7.45851087974034e-11,7.48847124470956e+19,2.07580049731916e-23,1.79772389225153e-16,1.5425788402389e-10
3.38729958209734e-23,3.90641264129429e-13,5.69536621446946e+19,2.31395773921053e-23,9.4156212298676e-19,1.90395236354852e-12
3.7759255251848e-23,1.83821945226712e-15,4.19665141407165e+19,2.57943883613447e-23,4.4306579179478e-21,2.11446086003761e-14
4.2091386445701e-23,7.78668484496435e-18,2.98545191846985e+19,2.87537866254583e-23,1.87682361974548e-23,2.1202759371374e-16
4.69205444096951e-23,2.97291722457708e-20,2.04254495821026e+19,3.20527175802855e-23,7.16561845988003e-26,1.92490373471533e-18
5.23037531810032e-23,1.02400510184033e-22,1.3383164948816e+19,3.57301359178869e-23,2.46815814449802e-28,1.5858693838229e-20
5.83045791824622e-23,3.18474560754371e-25,8.35936937019101e+18,3.98294656143569e-23,7.67618813156947e-31,1.18828347740665e-22
6.49938818325312e-23,8.95039219992507e-28,4.95262970528894e+18,4.43991126921818e-23,2.15731184981354e-33,8.11504715569918e-25
7.24506502729663e-23,2.27473603339217e-30,2.76804306558795e+18,4.94930368119852e-23,5.48279325689869e-36,5.06157391654101e-27
8.07629360945224e-23,5.23186514746509e-33,1.45080087790034e+18,5.51713884431717e-23,1.26103576548829e-38,2.88927046162031e-29
9.00288930745696e-23,1.08973920931804e-35,7.08519575987516e+17,6.15012191373603e-23,2.62659697693239e-41,1.51236927971556e-31
1.0035793620413e-22,2.05694413545941e-38,3.2018287609634e+17,6.855727329171e-23,4.95784973296276e-44,7.27315898197878e-34
1.1187203369045e-22,3.52078583287406e-41,1.32898572143914e+17,7.64228707515008e-23,8.48614544285382e-47,3.21942439659439e-36
1.24707147191436e-22,5.46823995018097e-44,5.02664091187052e+16,8.51908906739853e-23,1.3180091529674e-49,1.31395579801547e-38
1.39014837288635e-22,7.71100091894493e-47,1.71802661308988e+16,9.49648682712483e-23,1.85858153305308e-52,4.95278690669027e-41
1.54964053156631e-22,9.87835627695154e-50,5.25972079423893e+15,1.05860217382719e-22,2.3809789087372e-55,1.72689026438938e-43
1.72743127561784e-22,1.15031378102617e-52,1.42934112872034e+15,1.18005593313811e-22,2.77259978711586e-58,5.5778508240627e-46
1.92562000747783e-22,1.21827247436215e-55,341629294423965,1.31544412033465e-22,2.93640053590628e-61,1.67131674459808e-48
2.14654699468301e-22,1.1740859561709e-58,71167481624222.3,1.46636543669704e-22,2.82989782946981e-64,4.65164115770025e-51
2.39282100439836e-22,1.03016313337795e-61,12811273732649.3,1.63460200300464e-22,2.48300083977986e-67,1.20403773423508e-53
2.66735010846361e-22,8.23339142232551e-65,1977906032150.77,1.82214040331259e-22,1.98449324708751e-70,2.90174011572863e-56
2.97337602271246e-22,5.99690467817674e-68,260367259442.621,2.03119514308752e-22,1.44543314253215e-73,6.51822116271274e-59
3.3145123860526e-22,3.98247781044129e-71,29129278900.4668,2.2642347987026e-22,9.59896100659858e-77,1.36612847521834e-61
3.69478743131659e-22,2.41242108761673e-74,2770707248.45496,2.52401116707223e-22,5.81465536124686e-80,2.67399248403911e-64
4.11869155175285e-22,1.33357000528883e-77,225142221.889098,2.81359175963363e-22,3.21430202241818e-83,4.89245008731454e-67
4.59123032483509e-22,6.73015150294521e-81,15779085.9368427,3.13639602437294e-22,1.62216752786159e-86,8.37454189692209e-70
5.11798361951002e-22,3.10211373700175e-84,966850.074140878,3.4962357236159e-22,7.47702064313928e-90,1.34219826837021e-72
5.70517148483804e-22,1.30643063792879e-87,52610.0714497021,3.89735994437496e-22,3.14888804111495e-93,2.01571661995617e-75
6.35972759805847e-22,5.02894915111528e-91,2580.7871665387,4.34450527274776e-22,1.21212694968848e-96,2.83871134292954e-78
7.08938113937426e-22,1.77007484243302e-94,115.562774701122,4.84295172484003e-22,4.26640905486753e-100,3.7514647592215e-81
7.90274806025636e-22,5.69883013059578e-98,4.76672416249431,5.39858509466072e-22,1.37358827369729e-103,4.65549539630846e-84
8.80943282298941e-22,1.67884582993972e-101,0.182230826706348,6.01796645521087e-22,4.04651988654681e-107,5.42879756830512e-87
9.82014181282728e-22,4.52703199339568e-105,0.00648259568158273,6.70840963345403e-22,1.09114992345467e-110,5.95240258210966e-90
1.09468097619608e-21,1.1177277499225e-108,0.000215137151950614,7.4780675740144e-22,2.69405771938511e-114,6.1404724432778e-93
1.22027406781471e-21,2.52764407255171e-112,6.67209851828944e-06,8.33602861140916e-22,6.09237716965343e-118,5.96340846012634e-96
1.36027649421245e-21,5.23704953090566e-116,1.93605152115269e-07,9.29242378762413e-22,1.26228535674424e-121,5.45539456462243e-99
1.51634144288631e-21,9.94437952649607e-120,5.26127159667188e-09,1.03585464822686e-21,2.39689248385481e-125,4.70376708800429e-102
1.69031177205318e-21,1.73106895919342e-123,1.34010394381358e-10,1.15469857679353e-21,4.17239322601262e-129,3.82469435612462e-105
1.88424177163098e-21,2.76323818846659e-127,3.20175109310499e-12,1.28717750654626e-21,6.66022935607916e-133,2.93438164699911e-108
2.10042142086397e-21,4.04582852859142e-131,7.18045144773307e-14,1.43485578544617e-21,9.75165515888457e-137,2.12538560350394e-111
2.34140342903312e-21,5.43495784896072e-135,1.51264233858287e-15,1.59947723958641e-21,1.30998717250606e-140,1.45407696727668e-114
2.61003337855557e-21,6.70031725414155e-139,2.99528951526538e-17,1.78298576477458e-21,1.61497658281284e-144,9.40130035190716e-118
2.90948332641133e-21,7.58250365930715e-143,5.57890891405747e-19,1.98754828059375e-21,1.82760985553402e-148,5.74720817375376e-121
3.24328926067231e-21,7.87865984965982e-147,9.78022489732128e-21,2.21558031799014e-21,1.89899234297952e-152,3.32358939401377e-124
3.61539285443054e-21,7.51823357131429e-151,1.61476485638208e-22,2.4697745425328e-21,1.81211884471365e-156,1.81906272517824e-127
4.03018801016777e-21,6.59024102572801e-155,2.5124206915886e-24,2.75313255015576e-21,1.58844492401678e-160,9.42718114826025e-131
4.4925727441751e-21,5.30767332008136e-159,3.68594967458738e-26,3.06900031083567e-21,1.27930779932153e-164,4.6281722557388e-134
5.0080070236884e-21,3.92841219813087e-163,5.10177353484255e-28,3.42110767873364e-21,9.46864673265463e-169,2.1534062170459e-137
5.58257723969641e-21,2.67257415971123e-167,6.66557957941124e-30,3.81361243534817e-21,6.44170196731577e-173,9.49997000565286e-141
6.22306807673429e-21,1.67158927590395e-171,8.22468991419423e-32,4.25114938575264e-21,4.02902942393856e-177,3.97543952315015e-144
